,Nº,REGIÃO,UF,ENTE,ANO,N.JUR,POP,TAM.ATV,AD.PROG,C.PROG,PRT_massa,MassaSeg.,GR_POD,GR_SEGR,GR_C.ÉT,CIE_REL,CIE_FISC,CIE_AUD,CIE_CRP,GI_DIV.CART,GI_C.TÉC,GI_P.INV,GI_COMITÊ,GI_CONS,SA_AMRTZ,SA_PUB.REL,SA_REPAS,SA_R.ALIQ,GTI_POL.INFR.,GTI_INV.TI,DDM_CART,DDM_ACES,DDM_ATAS,RP_REG.ENV,RP_REL.GOV,RP_SITE,PS_OUV,PS_GEST,IP_REP.CF,IP_SELEC,LI_CERT.MB,LI_DIR.CERT,LI_P.EST.,R.FIN,IND.SF,R.INV,VAR.INV,R.AT,IND.COB
44,45,N,PA,Ananindeua,1990-12-17,Autarquia,535547,162950694.51,SIM,NÃO,MÉDIO PORTE,mais favorável,1,1,0,0,REG,REG,REG,REG,B,1,1,1,0,REG,REG,0,0,0,1,REG,0,B,0,1,1,0,B,EL,C,1,0,-40716826.95,0.15955886257073482,21511808.94,0.15209260772458189,-478704823.09000003,0.2539535467870494
45,46,CO,GO,Anápolis,2003-12-30,Autarquia,391772,37115684.66,SIM,NÃO,GRANDE PORTE,menos favorável,1,1,0,0,REG,REG,JUD,REG,C,1,0,0,0,JUD,REG,0,0,0,1,REG,0,C,0,1,1,0,B,EL,C,0,,-68115115.02,0.6029297721357215,-48203871.34,-0.5649803351062914,-2602300216.77,0.014062082690299483
46,47,SE,ES,Anchieta,1990-12-31,Autarquia,29779,163429697.43,NÃO,,MÉDIO PORTE,mais favorável,1,0,0,0,REG,REG,REG,REG,B,1,1,,0,REG,REG,1,0,0,1,REG,1,A,0,1,1,1,C,EL,C,1,0,23873860.490000002,2.7596474956894927,26054889.39000002,0.1896627901559178,-189493688.0,0.4630741520029287
47,48,SE,MG,Andradas,2001-12-13,Autarquia,41396,51836594.73,SIM,NÃO,MÉDIO PORTE,menos favorável,1,0,0,0,REG,REG,REG,REG,B,1,1,1,0,REG,REG,0,1,1,1,REG,0,B,0,0,1,0,A,EL,C,0,0,1544334.33,1.1394929967988103,8326199.579999999,0.19136115751869864,-133600953.69095892,0.2795366697381403
48,49,CO,MS,Angélica,2009-09-21,Autarquia,10932,15705353.27,SIM,NÃO,PEQUENO PORTE,mais favorável,1,1,0,0,REG,REG,REG,REG,A,1,1,1,0,REG,REG,1,0,0,1,REG,1,A,0,1,1,0,B,ESC,C,1,0,731522.48,1.3183079400443756,3537359.469999999,0.2907101637412077,-29172844.33,0.3499550808609123
49,50,S,SC,Angelina,2000-03-24,Autarquia,4743,25414077.07,NÃO,,PEQUENO PORTE,mais favorável,1,0,0,0,REG,REG,REG,REG,B,1,1,1,0,REG,REG,0,0,0,1,REG,0,B,0,1,1,0,A,ESC,B,1,0,2545836.89,2.4409457287071885,3951831.54,0.18412945348500975,-9249166.837397266,0.733170765491355
50,51,NE,PI,Angical do Piauí,2006-12-12,Órgão Adm. Direta,6783,3476505.33,SIM,NÃO,PEQUENO PORTE,menos favorável,1,0,0,0,REG,REG,IRG,REG,B,1,1,0,1,REG,REG,0,0,0,1,REG,,B,,0,,0,B,ESC,C,1,0,267565.75,1.1435527346157293,264913.54,0.08248667866970738,-32234172.849315066,0.09735198285911355
51,52,SE,RJ,Angra dos Reis,2008-12-29,Autarquia,207044,841859754.27,SIM,NÃO,GRANDE PORTE,menos favorável,1,0,0,0,REG,REG,JUD,REG,A,1,1,1,1,JUD,REG,0,0,0,1,REG,0,B,,0,,0,C,ESC,B,1,0,110623841.0,2.092314798874943,148963895.38,0.2149874233894773,-1130790120.555479,0.4267659279092695
52,53,S,SC,Antônio Carlos,2008-11-25,Autarquia,11459,33620695.44000001,NÃO,,PEQUENO PORTE,mais favorável,1,1,0,0,REG,REG,REG,REG,B,1,1,1,0,REG,REG,1,0,0,1,REG,1,A,0,1,0,0,A,ESC,C,1,0,4476535.72,2.5774239407059936,5066195.280000005,0.1774219563155539,-26512486.43,0.5591038823237976
53,54,CO,MS,Antônio João,1992-08-03,Autarquia,9020,25409820.76,NÃO,,PEQUENO PORTE,menos favorável,1,1,0,0,REG,REG,REG,REG,B,1,1,1,0,REG,REG,1,0,0,1,REG,1,B,0,1,0,0,B,ESC,C,1,0,2931179.59,2.2300841869067183,4199493.280000001,0.19799285437529712,-19603686.3,0.5644932470187316
54,55,CO,GO,Aparecida de Goiânia,2002-12-30,Autarquia,590146,384557609.8400001,SIM,NÃO,GRANDE PORTE,mais favorável,1,0,0,0,REG,REG,JUD,REG,B,1,1,1,0,REG,JUD,0,0,0,1,REG,1,B,0,1,1,0,A,EL,C,1,1,-11679888.75,0.5689477790546484,68665742.96000004,0.21737103787507284,-959101621.9200001,0.2862017398088985
55,56,SE,SP,Aparecida d'Oeste,2005-12-01,Órgão Adm. Direta,4158,3185769.110000001,NÃO,,PEQUENO PORTE,menos favorável,1,1,0,0,REG,REG,REG,REG,B,1,1,1,0,IRG,REG,1,0,0,1,REG,1,B,0,1,0,0,B,EL,C,1,0,688349.6400000001,1.3517113757707457,321335.3100000001,0.11218109142546773,-30533096.950000003,0.09448031568829096
56,57,SE,RJ,Aperibé,2012-11-29,Autarquia,11901,15321902.63,NÃO,,MÉDIO PORTE,mais favorável,1,0,0,0,JUD,REG,JUD,JUD,C,1,0,1,0,JUD,JUD,0,0,0,1,REG,1,C,0,1,0,0,A,EL,C,0,0,1441839.02,1.5352768765927054,2815968.620000001,0.22517059643432424,,
57,58,CO,MT,Apiacás,2015-04-28,Autarquia,10283,23857663.65,NÃO,,PEQUENO PORTE,mais favorável,1,1,0,0,REG,REG,REG,REG,B,1,1,1,0,REG,REG,1,0,0,1,REG,1,B,0,1,1,0,C,ESC,C,1,0,-226791.53000000003,0.7724198638638637,3527713.0,0.1735229495011097,-8188057.989999998,0.7444882633012848
58,59,CO,MS,Aquidauana,2001-12-13,Autarquia,48029,50850639.53,SIM,NÃO,MÉDIO PORTE,mais favorável,1,1,0,0,REG,REG,JUD,IRG,B,1,1,1,0,IRG,IRG,0,0,0,1,REG,1,B,0,1,0,0,A,EL,C,1,0,-9089256.8,0.1620960832536247,5932362.229999996,0.13207011903815835,-192875742.4,0.2086382242551185
59,60,NE,SE,Aracaju,2001-12-28,Autarquia,664908,946936799.77,NÃO,,GRANDE PORTE,menos favorável,1,0,0,0,REG,REG,JUD,REG,B,1,1,1,0,REG,REG,1,0,0,1,REG,1,B,1,0,0,0,C,ESC,C,1,1,91436550.72999996,1.2965377343985345,178420060.9299999,0.23216158076050109,-1922956529.3415074,0.3299553994444674
60,61,SE,SP,Araçariguama,2005-12-22,Autarquia,22860,58818683.24,NÃO,,MÉDIO PORTE,mais favorável,1,1,0,0,REG,REG,JUD,REG,C,1,0,0,1,IRG,REG,1,0,0,1,REG,1,C,0,1,1,0,A,EL,,0,0,11258936.5,3.909821565086038,7082666.920000001,0.13690012149741038,-52098511.20999999,0.5302936441158786
61,62,NE,PE,Araçoiaba,2011-03-23,Autarquia,20733,10771611.37,NÃO,,PEQUENO PORTE,mais favorável,1,1,0,0,JUD,REG,JUD,REG,B,1,1,1,1,JUD,JUD,0,0,0,1,REG,1,A,0,1,0,0,B,ESC,C,1,0,-135510.7799999999,0.8821291994144923,2242546.040000001,0.26292987018309066,-36842291.31,0.22622828131508246
62,63,SE,ES,Aracruz,1991-09-09,Autarquia,103101,238599893.27,SIM,NÃO,MÉDIO PORTE,menos favorável,1,0,1,0,REG,REG,REG,REG,B,1,1,,0,REG,REG,1,0,0,1,REG,1,A,1,1,1,1,A,ESC,C,1,1,40835924.410000004,2.073547657954192,39186392.95000002,0.19650822480482688,-500232463.18000007,0.3229418570898053
