,Nº,REGIÃO,UF,ENTE,ANO,N.JUR,POP,TAM.ATV,AD.PROG,C.PROG,PRT_massa,MassaSeg.,GR_POD,GR_SEGR,GR_C.ÉT,CIE_REL,CIE_FISC,CIE_AUD,CIE_CRP,GI_DIV.CART,GI_C.TÉC,GI_P.INV,GI_COMITÊ,GI_CONS,SA_AMRTZ,SA_PUB.REL,SA_REPAS,SA_R.ALIQ,GTI_POL.INFR.,GTI_INV.TI,DDM_CART,DDM_ACES,DDM_ATAS,RP_REG.ENV,RP_REL.GOV,RP_SITE,PS_OUV,PS_GEST,IP_REP.CF,IP_SELEC,LI_CERT.MB,LI_DIR.CERT,LI_P.EST.,R.FIN,IND.SF,R.INV,VAR.INV,R.AT,IND.COB
136,137,NE,MA,Governo do Estado do Maranhão,1938-09-03,Autarquia,,25989463.71,NÃO,,ESTADO/DF,ESTADO/DF,1,1,1,1,REG,REG,JUD,REG,B,1,1,0,1,JUD,JUD,0,0,0,1,REG,1,C,0,1,1,1,C,ESC,C,1,0,-764375526.52,0.6113707014885986,-26744651.09,-0.507160330488756,-35390116938.696304,0.0007338317604623579
137,138,CO,MT,Governo do Estado do Mato Grosso,2014-12-31,Autarquia,,19975603.88,SIM,NÃO,ESTADO/DF,ESTADO/DF,1,1,1,0,REG,REG,JUD,REG,B,1,1,0,1,JUD,REG,0,0,1,1,REG,1,C,0,1,1,0,B,ESC,C,0,0,-1334974647.43,0.6076712127717521,-11095125.22,-0.35709252860757623,,
138,139,CO,MS,Governo do Estado do Mato Grosso do Sul,1979-12-03,Autarquia,,85694929.03,SIM,NÃO,ESTADO/DF,ESTADO/DF,1,1,0,0,REG,REG,REG,REG,B,1,1,0,1,REG,REG,0,0,1,1,REG,1,B,0,1,1,0,C,ESC,C,1,0,-1039790229.7700002,0.6271364033564448,11668226.92999999,0.15762186615091678,-18446243221.63,0.004624175212183516
139,140,N,PA,Governo do Estado do Pará,2002-01-09,Autarquia,,5451318911.04,SIM,NÃO,ESTADO/DF,ESTADO/DF,1,1,1,1,REG,REG,REG,REG,A,1,1,0,0,REG,REG,1,1,1,1,REG,1,B,1,1,1,0,B,ESC,B,1,0,-416847117.3500004,0.8491697833473545,618817308.8600006,0.12805320304101797,-42725411957.90548,0.11315252846585108
140,141,NE,PI,Governo do Estado do Piauí,1986-05-21,Órgão Adm. Direta,,10451398.95,NÃO,,ESTADO/DF,ESTADO/DF,1,1,0,0,REG,REG,JUD,REG,C,1,0,0,1,JUD,REG,1,0,1,1,REG,1,C,0,1,1,0,A,ESC,,0,0,-427645154.99,0.7377081593746393,6466758.14,1.622921223858067,-23340344619.38,0.00044758212704165706
141,142,SE,RJ,Governo do Estado do Rio de Janeiro,1979-12-03,Autarquia,,1843862997.61,SIM,NÍVEL II,ESTADO/DF,ESTADO/DF,1,0,1,0,REG,REG,REG,REG,B,1,1,0,0,REG,REG,1,1,1,1,REG,1,B,1,1,0,0,C,EL,C,1,1,-10412278885.0,0.33772552872853207,368804399.3999999,0.25002694797857394,-274919075330.4513,0.006662246790516347
142,143,NE,RN,Governo do Estado do Rio Grande do Norte,1962-05-01,Autarquia,,77974174.7,NÃO,,ESTADO/DF,ESTADO/DF,1,1,0,0,REG,REG,JUD,REG,C,0,0,0,0,JUD,REG,0,0,0,1,REG,0,C,0,1,1,1,B,ESC,C,1,0,-3332981446.3999996,0.32658503927099003,20235281.07,0.3504618775633439,,
143,144,S,RS,Governo do Estado do Rio Grande do Sul,1966-07-30,Autarquia,,2989411434.879999,SIM,NÃO,ESTADO/DF,ESTADO/DF,1,1,1,1,REG,REG,REG,REG,B,1,1,0,1,REG,REG,0,1,1,1,REG,1,A,0,1,1,0,B,ESC,B,1,0,-7885884879.7,0.3609106071055173,949190222.9799998,0.4652388757864374,-101040468507.92,0.02873608463764164
144,145,N,TO,Governo do Estado do Tocantins,2001-09-06,Fund. Dir. Púbico,,4029788173.18,SIM,NÃO,ESTADO/DF,ESTADO/DF,1,1,1,1,REG,REG,JUD,REG,C,1,1,0,0,REG,REG,1,1,1,1,REG,1,B,1,1,1,1,B,ESC,C,1,1,61332662.34000003,1.0707119433950913,143029806.6599998,0.03679925356102376,-6212852754.76479,0.3934325338092845
145,146,N,RO,Guajará-Mirim,2012-06-13,Autarquia,46556,40014326.38,SIM,NÍVEL I,MÉDIO PORTE,mais favorável,1,1,0,1,REG,REG,IRG,REG,B,1,1,0,0,REG,REG,1,0,1,1,REG,1,B,0,1,1,0,B,ESC,C,1,0,6035702.41,2.196666602514825,6573107.89,0.19655706899452774,-142942356.61,0.21870929077888396
146,147,SE,MG,Guanhães,2002-09-24,Autarquia,34573,44547329.97000001,SIM,NÍVEL I,MÉDIO PORTE,menos favorável,1,1,1,1,REG,REG,REG,REG,B,1,1,1,0,IRG,REG,1,1,1,1,REG,1,A,0,1,1,1,C,EL,B,1,1,,,3518243.21,0.08574997612254931,-131793218.46999998,0.2526210242856156
147,148,N,TO,Guaraí,2016-06-30,Autarquia,26165,9425554.08,NÃO,,MÉDIO PORTE,mais favorável,1,1,0,0,REG,REG,REG,REG,C,1,1,0,0,REG,REG,0,0,0,1,REG,1,B,0,1,1,0,A,ESC,C,1,0,2316671.4400000004,1.8459147088522272,2777112.28,0.41770874492727006,-85008925.04,0.09981051590301819
148,149,SE,ES,Guarapari,2005-12-07,Autarquia,126701,194808205.17,SIM,NÃO,MÉDIO PORTE,mais favorável,1,1,0,1,REG,REG,REG,REG,B,1,1,,1,REG,REG,0,0,1,1,REG,1,A,0,1,1,1,A,ESC,C,0,1,1719819.789999999,1.1032010318649879,34223106.13000003,0.21311507938526342,-361484632.97,0.35019002908855246
149,150,SE,SP,Guarujá,2015-02-13,Autarquia,322750,644555182.75,SIM,NÍVEL I,GRANDE PORTE,mais favorável,1,0,1,0,REG,REG,REG,REG,B,1,1,1,1,IRG,REG,1,1,1,1,REG,1,A,1,1,1,0,A,EL,B,1,1,77697422.65,3.1062417927664425,172241963.01,0.36467741280842425,-2766513243.37,0.18895990998432255
150,151,S,SC,Herval d'Oeste,1992-07-20,Autarquia,22714,66267117.47,SIM,NÍVEL I,PEQUENO PORTE,menos favorável,1,0,1,0,REG,REG,REG,REG,B,1,1,0,0,REG,REG,1,0,0,1,REG,1,A,0,1,1,0,A,EL,C,1,0,,,7860577.030000001,0.13458384918509303,-76349620.63,0.4646517537340871
151,152,SE,SP,Hortolândia,2001-10-31,Autarquia,234259,575956171.42,SIM,NÍVEL I,MÉDIO PORTE,mais favorável,1,1,1,1,REG,REG,REG,REG,B,1,1,1,0,IRG,REG,0,1,1,1,REG,1,A,1,1,1,0,C,ESC,C,1,1,33405587.40999999,1.6739412216931433,102910417.2399999,0.21754854859312656,-353220062.2700001,0.6198567618682287
152,153,NE,CE,Icapuí,2001-11-09,Autarquia,20060,17057044.91,NÃO,,MÉDIO PORTE,mais favorável,1,1,1,0,JUD,REG,JUD,REG,A,0,1,0,1,JUD,JUD,1,0,1,1,REG,1,B,0,1,1,0,B,ESC,C,1,0,-364283.26999999955,0.9470886309982296,-584657.7800000012,-0.03314066619722644,-160022598.17000002,0.0963241432686538
153,154,SE,SP,Indaiatuba,2005-07-27,Autarquia,256223,1346560372.81,SIM,NÍVEL II,GRANDE PORTE,mais favorável,1,0,1,1,REG,REG,REG,REG,B,1,1,1,0,REG,REG,1,0,1,1,REG,1,A,0,1,1,0,A,ESC,B,1,1,207698621.22000003,4.051637144568089,234917640.96,0.21132476669824407,-195995302.61000013,0.8729411808383283
154,155,NE,PE,Ipojuca,2006-09-04,Autarquia,97669,280092818.78,SIM,NÃO,MÉDIO PORTE,mais favorável,1,1,1,0,REG,REG,REG,REG,B,1,1,1,1,REG,REG,1,0,1,1,REG,1,A,0,1,1,0,B,ESC,B,1,1,52515723.7,2.311305959560549,61149755.76999999,0.27929524201096534,-629221191.97,0.3080265073106925
155,156,SE,MG,Itabira,2012-02-29,Autarquia,120904,291355818.76,SIM,NÃO,MÉDIO PORTE,mais favorável,1,1,0,0,REG,REG,REG,REG,B,1,1,1,0,REG,REG,1,0,1,1,REG,1,A,0,1,1,1,B,ESC,B,1,0,55562751.68000001,3.2185613049536337,59690136.02999997,0.25765635775915596,-340446647.6516439,0.4611501762802084
156,157,N,AM,Itacoatiara,1993-09-29,Autarquia,102701,3718373.32,NÃO,,MÉDIO PORTE,mais favorável,1,1,0,1,REG,REG,JUD,REG,B,1,1,0,0,JUD,JUD,0,0,1,1,REG,1,B,1,1,1,1,B,ESC,C,1,0,,,2351690.15,1.7207281114027326,,
157,158,NE,PE,Itacuruba,2009-12-14,Autarquia,4966,15775519.56,SIM,NÍVEL I,PEQUENO PORTE,mais favorável,1,1,1,1,REG,REG,REG,REG,B,1,1,1,0,REG,REG,1,1,1,1,REG,1,A,1,1,1,0,B,ESC,C,1,1,1850409.8499999999,2.4137614535346286,2004176.779999999,0.14553241553980123,-32017481.72,0.3300801192119651
158,159,S,SC,Itajaí,1956-12-04,Autarquia,223112,778258318.6800002,SIM,NÍVEL I,GRANDE PORTE,mais favorável,1,1,1,1,REG,REG,REG,REG,B,1,1,0,0,REG,REG,1,1,1,1,REG,1,A,1,1,1,0,C,ESC,C,1,1,125347268.84,2.1748256910609287,182512359.5200001,0.3063593746860527,-1246587342.3399997,0.3843543898985164
159,160,SE,SP,Itapira,2006-06-30,Fund. Dir. Púbico,75234,95724240.38000001,SIM,NÍVEL I,MÉDIO PORTE,menos favorável,1,0,1,1,REG,REG,REG,REG,B,1,1,1,1,REG,REG,1,1,1,1,REG,1,A,1,1,1,0,A,EL,C,1,1,-960839.0099999979,0.9752452356582723,15278509.81,0.1899231904756633,-579398363.6999999,0.14178793570457462
160,161,CO,GO,Itapuranga,2000-10-04,Autarquia,25681,9028694.870000001,NÃO,,MÉDIO PORTE,menos favorável,1,1,0,0,REG,REG,REG,REG,B,1,1,1,0,IRG,REG,1,0,1,1,REG,1,A,1,1,1,1,A,ESC,C,1,0,-169337.00999999978,0.9722694259945105,-161996.6499999985,-0.017626165522743875,-123853352.17,0.06794518199499285
161,162,SE,RJ,Itatiaia,2002-12-27,Autarquia,32064,135593443.93,SIM,NÍVEL II,MÉDIO PORTE,mais favorável,1,0,1,1,REG,REG,REG,REG,C,1,1,1,1,REG,REG,0,1,1,1,REG,1,B,1,1,1,0,A,EL,B,1,0,24690646.6,3.6951779333560975,29390182.15000001,0.27673521187025085,-102712324.65,0.5689893481721608
162,163,SE,SP,Itu,2016-04-04,Autarquia,175568,417564114.61,SIM,NÍVEL II,MÉDIO PORTE,mais favorável,1,0,1,1,REG,REG,JUD,REG,B,1,1,1,1,IRG,JUD,1,0,1,1,REG,1,B,1,1,1,0,A,ESC,C,1,1,50824350.07,4.200658982957825,102345997.0,0.3246831044357241,-129622834.98000002,0.7631105144647096
163,164,SE,SP,Itupeva,2015-11-11,Autarquia,62813,54269143.97000001,SIM,NÍVEL I,MÉDIO PORTE,mais favorável,1,1,0,1,REG,REG,REG,REG,B,1,1,1,0,REG,REG,1,0,0,1,REG,1,A,1,1,1,0,B,ESC,C,1,1,13654720.709999999,8.922669031729896,21180223.74000001,0.6401001783309026,-794854220.83,0.06391196641112615
164,165,S,RS,Ivoti,2008-04-07,Órgão Adm. Direta,24690,76563722.78,SIM,NÍVEL I,MÉDIO PORTE,mais favorável,1,0,1,0,REG,REG,REG,REG,A,1,1,1,1,REG,REG,1,0,0,1,REG,1,B,1,0,1,0,A,ESC,B,1,1,13700749.410000002,4.481128124144773,13628597.48999999,0.21654993816569856,-24772952.700000003,0.7555381348099461
165,166,NE,PE,Jaboatão dos Guararapes,2001-06-30,Autarquia,706867,308079759.83,SIM,NÃO,GRANDE PORTE,menos favorável,1,1,0,0,REG,REG,REG,REG,B,1,1,1,0,REG,REG,1,0,1,1,REG,1,A,0,1,1,0,B,ESC,C,1,0,4984800.269999981,1.035897169696558,88847214.65999997,0.4052647137362977,-6110396143.439999,0.047998896384894685
166,167,SE,MG,Janaúba,2002-03-26,Autarquia,72018,39678229.65000001,NÃO,,MÉDIO PORTE,menos favorável,1,1,0,0,REG,REG,JUD,REG,B,1,1,1,0,JUD,REG,1,0,1,1,REG,1,B,0,1,1,1,B,ESC,C,1,0,5819029.5,1.436012940037179,8202082.220000006,0.26058088075234354,,
167,168,S,SC,Jaraguá do Sul,1993-12-20,Autarquia,181173,551487597.01,SIM,NÍVEL II,MÉDIO PORTE,menos favorável,1,1,1,0,REG,REG,JUD,REG,B,1,1,1,0,REG,REG,1,0,0,1,REG,1,B,0,1,1,0,C,ESC,C,1,1,58629838.85,1.898647602377351,74534422.31,0.1562719911800181,-1015088189.3289039,0.35203378082258596
168,169,NE,PB,João Pessoa,1982-12-10,Autarquia,817511,269702299.09,SIM,NÍVEL II,GRANDE PORTE,menos favorável,1,0,1,1,REG,REG,REG,REG,B,1,1,1,0,REG,REG,1,1,0,1,REG,1,A,1,1,1,0,A,ESC,C,1,1,-105783720.13,0.5776856502975856,67715649.67999998,0.33524814574525785,-8127566082.819999,0.03211786105003052
169,170,S,SC,Joinville,1998-12-09,Autarquia,597658,2866506234.47,SIM,NÍVEL II,GRANDE PORTE,menos favorável,1,0,1,1,REG,REG,IRG,REG,B,1,1,1,0,REG,REG,0,0,0,1,REG,1,A,1,1,1,0,B,ESC,B,1,1,452718416.5899999,2.847090985013278,490763935.02,0.20657288256121675,-1054243247.1399994,0.7311118060246252
170,171,NE,CE,Juazeiro do Norte,2007-05-25,Fund. Dir. Púbico,276264,280618348.11,SIM,NÍVEL II,MÉDIO PORTE,mais favorável,1,1,1,1,REG,REG,REG,REG,B,1,1,1,1,REG,REG,0,1,1,1,REG,1,B,1,1,1,0,C,ESC,C,1,1,51376031.07000001,3.5707650369953665,30359144.93000001,0.12131080313623488,-821894041.86,0.2545262535486207
171,172,SE,SP,Jundiaí,2002-09-12,Autarquia,423006,1917537428.1,SIM,NÍVEL IV,GRANDE PORTE,menos favorável,1,1,0,1,REG,REG,IRG,REG,B,1,1,0,1,REG,REG,1,0,1,1,REG,1,A,1,1,1,0,A,EL,B,1,1,29232770.839999974,1.108749388027301,294984000.51,0.18180233420611835,-3024962399.89,0.38796914412434447
172,173,S,SC,Lages,1991-12-05,Autarquia,157349,55593292.57,SIM,NÍVEL II,MÉDIO PORTE,menos favorável,1,1,1,1,REG,REG,REG,REG,B,1,1,1,0,REG,REG,0,0,1,1,REG,1,C,0,1,1,0,A,ESC,B,1,1,819864.2699999958,1.0131805600695036,11828916.12,0.27028640825065375,-674941556.079315,0.07609943957196069
173,174,SE,MG,Lavras,2002-05-03,Autarquia,104783,162942121.52,SIM,NÃO,MÉDIO PORTE,mais favorável,1,1,0,0,REG,REG,JUD,REG,A,1,1,1,1,JUD,REG,0,0,1,1,REG,1,A,0,1,1,1,A,ESC,C,0,0,20892153.049999997,2.1267235006565963,31070081.85000001,0.23560780532211822,-214966768.36767116,0.4311677387860142
174,175,SE,ES,Linhares,2002-12-19,Autarquia,176688,289866190.6,SIM,NÍVEL I,GRANDE PORTE,menos favorável,1,0,1,1,REG,REG,JUD,REG,B,1,1,,0,JUD,REG,0,1,0,1,REG,1,B,1,1,1,0,B,ESC,C,1,1,-7191693.079999991,0.8650341847643069,46224844.11000001,0.1897249575079707,-613820519.7382191,0.32075960317211366
175,176,CO,MT,Lucas do Rio Verde,2007-03-28,Autarquia,67620,167972269.23,SIM,NÍVEL II,MÉDIO PORTE,mais favorável,1,1,1,1,REG,REG,REG,REG,B,1,1,1,0,REG,REG,1,1,1,1,REG,1,A,1,1,1,0,C,ESC,B,1,1,26109924.930000003,3.415808101250064,33419540.92999997,0.24837505231025458,-50905916.380000025,0.7674235272093088
176,177,CO,GO,Luziânia,2001-12-28,Autarquia,211508,57652433.34,NÃO,,MÉDIO PORTE,mais favorável,1,1,0,0,REG,IRG,IRG,REG,C,0,0,0,0,IRG,REG,,0,0,1,REG,1,B,1,1,1,0,C,ESC,C,0,0,-4838451.140000001,0.8544124692543773,-2144215.68,-0.03585845887923966,,
177,178,S,SC,Mafra,2001-11-22,Autarquia,56561,37868407.93,SIM,NÍVEL I,MÉDIO PORTE,menos favorável,1,1,1,1,REG,REG,JUD,REG,B,1,1,0,0,IRG,REG,0,1,1,1,REG,1,B,1,1,1,0,A,ESC,C,1,1,-1266033.1900000013,0.9250115941415489,-1791709.870000005,-0.04517661493178915,-245956233.82,0.13342184701268983
178,179,N,AM,Manaus,2005-07-21,Autarquia,2219580,1137245247.07,SIM,NÍVEL IV,GRANDE PORTE,mais favorável,1,1,1,1,REG,REG,REG,REG,B,1,1,0,0,REG,REG,0,1,1,1,REG,1,B,1,1,1,1,A,ESC,A,1,1,-40472455.46000004,0.8890459292564068,155373565.0199999,0.1582422304873925,-5053228730.488768,0.18370891327427502
179,180,N,PA,Marabá,2016-12-20,Autarquia,283542,546534260.45,SIM,NÃO,GRANDE PORTE,mais favorável,1,1,1,1,REG,REG,JUD,REG,B,1,1,1,0,JUD,REG,1,0,1,1,REG,1,B,0,1,1,0,C,ESC,C,1,0,122063433.74999999,3.912197725925524,111415613.53,0.25605800697961056,-640125613.9099998,0.4605652152389174
180,181,CO,MS,Maracaju,2005-09-23,Autarquia,48022,76516506.48,SIM,NÍVEL I,MÉDIO PORTE,mais favorável,1,1,1,1,REG,REG,REG,REG,B,1,1,1,0,REG,REG,1,1,0,1,REG,1,A,1,1,1,0,A,EL,B,1,1,2829015.75,1.2148393426860062,9808592.090000004,0.14703790666659455,-36341130.14,0.6779913949255976
181,182,NE,CE,Maracanaú,2012-12-26,Autarquia,229458,147123686.61,NÃO,,MÉDIO PORTE,mais favorável,1,1,0,0,REG,REG,JUD,REG,B,1,1,1,0,JUD,REG,0,0,1,1,REG,1,C,0,1,1,0,B,EL,C,1,0,37511036.760000005,2.8695080381983797,17521234.72000001,0.1351921546582402,,
182,183,S,PR,Maringá,2008-12-17,Autarquia,430157,455583659.35,SIM,NÍVEL II,GRANDE PORTE,mais favorável,1,0,1,1,REG,REG,REG,REG,B,1,1,1,0,REG,REG,0,1,0,1,REG,1,A,1,1,1,0,C,ESC,A,1,1,25784484.130000025,1.186968503691258,125109980.37,0.37857774560488244,-5382669759.369998,0.07803423844007853
183,184,NE,AL,Messias,2011-12-15,Autarquia,18031,12106505.23,NÃO,,MÉDIO PORTE,mais favorável,1,1,0,0,REG,REG,REG,REG,A,1,1,1,0,REG,REG,0,1,1,1,REG,1,C,0,1,1,1,B,ESC,C,1,1,,,1221083.85,0.1121760754474348,-57121190.849999994,0.1748795051045703
184,185,CO,GO,Mineiros,2008-05-08,Autarquia,68154,118892630.68,NÃO,,MÉDIO PORTE,mais favorável,1,1,0,0,REG,REG,REG,REG,B,1,1,1,0,REG,REG,1,0,0,1,REG,,B,,1,,1,B,ESC,C,1,0,18244784.179999996,1.9802651797129347,21483222.11,0.2205456580157943,-209111914.44,0.3624725097528856
185,186,SE,SP,Mogi das Cruzes,2005-07-05,Autarquia,450785,633822176.13,SIM,NÃO,GRANDE PORTE,menos favorável,1,1,0,0,REG,REG,REG,REG,B,1,1,1,1,REG,REG,0,0,1,1,REG,1,A,0,1,1,0,A,ESC,B,1,0,-13828676.049999997,0.8931279852495013,116810918.93,0.22593496234998423,-1350751206.6799998,0.31937452231298075
186,187,NE,BA,Morro do Chapéu,2009-01-26,Fund. Dir. Púbico,35440,8791486.54,NÃO,,MÉDIO PORTE,mais favorável,1,1,0,0,JUD,REG,JUD,JUD,C,1,0,0,0,JUD,JUD,1,0,1,1,REG,1,C,0,1,1,0,,ESC,C,1,0,,,514248.4499999993,0.06212802439756793,-117675678.46000001,0.06951596123784383
187,188,NE,RN,Mossoró,2011-12-09,Autarquia,300618,76629333.66000001,NÃO,,MÉDIO PORTE,mais favorável,1,1,0,0,JUD,REG,JUD,REG,C,1,1,1,0,REG,JUD,0,0,0,1,REG,1,B,0,1,1,1,A,ESC,C,1,0,-6831424.609999999,0.8406988935920657,13613445.90000001,0.2160319624766327,-1056400452.7800001,0.06763223224763645
188,189,S,SC,Navegantes,2011-05-23,Autarquia,83626,204115991.04,SIM,NÍVEL II,MÉDIO PORTE,mais favorável,1,1,1,1,REG,REG,REG,REG,B,1,1,1,1,IRG,REG,1,1,0,1,REG,1,A,1,1,1,0,A,ESC,C,1,1,53931638.60000001,4.961941996598302,55789813.13,0.3761292437795547,-198966366.02,0.5063878075160128
189,190,CO,MS,Naviraí,2000-05-18,Autarquia,55689,199587444.07,SIM,NÍVEL I,MÉDIO PORTE,mais favorável,1,0,1,1,REG,REG,REG,REG,B,1,1,1,0,REG,REG,1,1,0,1,REG,1,B,0,1,1,0,A,EL,B,1,1,24837836.099999987,3.6370576520930387,36651247.13,0.2249423260044332,-101327207.63999999,0.663269278966011
190,191,SE,RJ,Nilópolis,1983-11-17,Autarquia,162693,929573.73,SIM,NÍVEL I,MÉDIO PORTE,menos favorável,1,0,1,1,REG,REG,JUD,REG,B,1,1,1,1,JUD,REG,0,1,1,1,REG,1,B,0,1,1,0,B,ESC,B,1,1,-32049131.1,0.3837479676903894,-2458928.26,-0.7256682354788879,-531096513.26,0.0017472333645501717
191,192,SE,RJ,Nova Iguaçu,2014-09-11,Autarquia,823302,3833263.19,SIM,NÍVEL II,GRANDE PORTE,menos favorável,1,0,1,0,REG,REG,REG,REG,B,1,1,1,0,REG,REG,1,1,0,1,REG,1,A,1,1,1,0,A,ESC,B,1,1,-6320002.700000018,0.9681456798926426,1106570.74,0.405828952216448,-2974669274.5099998,0.0012869766406041227
192,193,CO,MT,Nova Mutum,2015-09-29,Órgão Adm. Direta,46813,43770504.21,SIM,NÍVEL I,MÉDIO PORTE,mais favorável,1,1,1,1,REG,REG,REG,REG,B,1,1,1,0,REG,REG,1,1,0,1,REG,1,A,1,1,1,0,A,ESC,A,1,1,,,14165089.0,0.47846277106815815,-50607391.300000004,0.46377919292936776
193,194,NE,CE,Nova Olinda,2010-03-05,Fund. Dir. Púbico,11917,21390250.5,NÃO,,MÉDIO PORTE,mais favorável,1,1,0,0,REG,REG,REG,REG,A,1,1,1,1,REG,REG,1,0,1,1,REG,1,B,0,1,1,0,A,EL,C,1,0,2475776.0700000008,2.443785102284399,3735728.579999998,0.21160179793755618,-45367582.62000001,0.3204155902057235
194,195,S,SC,Palhoça,2001-11-12,Autarquia,175272,318884447.2,SIM,NÍVEL I,MÉDIO PORTE,mais favorável,1,1,1,1,REG,REG,REG,REG,B,1,1,1,0,REG,REG,0,1,1,1,REG,1,B,1,1,1,0,B,ESC,B,1,1,55187862.800000004,3.7031222018736414,52395601.48999998,0.19661461383272383,-505894455.2790411,0.38663021840341427
195,196,N,PA,Paragominas,2015-05-26,Autarquia,114503,228227252.62,SIM,NÍVEL I,MÉDIO PORTE,mais favorável,1,1,1,1,REG,REG,REG,REG,B,1,1,1,0,REG,REG,1,0,1,1,REG,1,A,1,1,1,0,B,ESC,B,0,1,38273415.72000001,3.1440046342666856,37326073.78,0.1955256327216508,-313175793.39,0.4215477809036644
196,197,S,PR,Paranavaí,2000-12-14,Fund. Dir. Púbico,88922,136298215.51,SIM,NÍVEL I,MÉDIO PORTE,mais favorável,1,1,1,1,REG,REG,JUD,REG,B,1,1,0,0,REG,REG,1,1,1,1,REG,1,A,1,1,1,0,C,ESC,B,1,1,15686235.040000007,1.7186245706158265,22727833.83999999,0.20012113638959117,-993867365.8800001,0.12060021801616509
197,198,SE,MG,Paraopeba,2006-03-10,Autarquia,24700,24280137.03,SIM,NÍVEL I,MÉDIO PORTE,menos favorável,1,1,1,1,REG,REG,REG,REG,B,1,1,1,0,IRG,REG,1,1,0,1,REG,1,A,1,1,1,1,B,ESC,C,1,0,-1002271.8600000003,0.8831353578314439,-1222231.449999999,-0.04792619363799577,-167564435.96,0.12656150055006046
198,199,S,RS,Passo Fundo,2001-11-27,Autarquia,204722,533950159.37,SIM,NÍVEL I,MÉDIO PORTE,menos favorável,1,0,1,1,REG,REG,REG,REG,B,1,1,1,1,IRG,REG,1,1,0,1,REG,1,B,0,1,1,0,A,EL,C,1,0,21763604.49000001,1.28291372475103,70782634.32999998,0.15282296470135082,-152403681.33000004,0.7779517323388673
199,200,SE,SP,Paulínia,2001-10-09,Autarquia,112003,1342111493.2,SIM,NÍVEL I,MÉDIO PORTE,mais favorável,1,1,1,1,JUD,JUD,JUD,REG,B,1,1,1,0,JUD,JUD,1,1,1,1,REG,1,A,1,1,1,0,B,EL,A,1,1,99548187.13,1.748798175339426,169196674.9100001,0.14425316508207553,-2055881290.97,0.3949718491023302
200,201,S,PR,Pinhais,2007-12-26,Autarquia,133490,334672171.95,SIM,NÍVEL II,MÉDIO PORTE,mais favorável,1,1,1,0,REG,REG,JUD,REG,B,1,1,1,0,REG,REG,1,0,0,1,REG,1,A,1,1,1,0,B,ESC,C,1,1,50535917.580000006,3.033013489522298,47639514.88,0.16597245542127248,-79878483.3900001,0.8073130934397232
201,202,SE,SP,Piracaia,2008-12-05,Autarquia,27462,89445393.07000001,SIM,NÍVEL I,MÉDIO PORTE,mais favorável,1,1,1,1,REG,REG,REG,REG,B,1,1,1,1,REG,REG,1,1,1,1,REG,1,A,1,1,1,0,B,ESC,A,1,1,3271579.9000000004,1.634132964679548,16872184.33,0.23248502612646083,-67003295.760000005,0.5717235071697724
202,203,SE,SP,Piracicaba,1987-06-30,Autarquia,407252,169706009.48,SIM,NÃO,MÉDIO PORTE,menos favorável,1,1,0,0,REG,REG,JUD,REG,B,1,1,1,0,REG,REG,0,0,0,1,REG,1,A,0,1,1,0,A,EL,C,1,0,-60308088.91,0.516942377843295,37574966.98999998,0.2843765271347478,-2041925926.17,0.07673338711765494
203,204,NE,AL,Piranhas,2011-11-08,Órgão Adm. Direta,25183,27506634.18,NÃO,,MÉDIO PORTE,mais favorável,1,1,0,0,REG,REG,IRG,REG,B,1,1,1,0,REG,REG,0,0,0,1,REG,1,B,0,1,1,0,B,ESC,C,0,1,5148389.99,2.9885751915253005,5407134.66,0.24467226758264626,-73985999.22999999,0.2710209919263933
204,205,S,RS,Porto Alegre,2003-06-24,Autarquia,1488252,2643075628.97,SIM,NÍVEL I,GRANDE PORTE,menos favorável,1,1,1,0,REG,REG,REG,REG,B,1,1,1,0,REG,REG,1,0,0,1,REG,1,A,1,1,1,0,B,EL,B,1,1,-374391709.88,0.7079128348809153,551628734.6699996,0.26375459791659117,-19574376736.969997,0.11896393814359704
205,206,SE,MG,Pouso Alegre,1991-12-05,Autarquia,152549,461545074.38,SIM,NÍVEL I,MÉDIO PORTE,menos favorável,1,1,1,1,REG,REG,JUD,JUD,B,1,1,1,1,JUD,REG,1,0,1,1,REG,1,C,0,1,1,0,C,EL,C,1,1,7326978.619999997,1.1800821995869037,31920084.63999999,0.07429755112549974,,
206,207,SE,SP,Praia Grande,1991-12-30,Autarquia,330845,738948979.92,SIM,NÍVEL I,GRANDE PORTE,mais favorável,1,0,1,1,REG,REG,REG,REG,B,1,1,0,1,REG,REG,1,0,1,1,REG,1,A,1,1,1,0,A,EL,B,1,1,45885754.19999999,1.4680965786547613,145649945.51,0.24549162743007003,-1430995680.92,0.34053816821021965
207,208,N,AM,Presidente Figueiredo,2002-04-05,Autarquia,37193,100137705.92,SIM,NÃO,MÉDIO PORTE,mais favorável,1,1,0,1,REG,REG,REG,REG,B,1,1,0,1,REG,REG,1,0,1,1,REG,1,B,0,1,1,0,B,ESC,C,1,0,17145608.29,4.550167634024209,17306441.00999999,0.20893609470776808,-130765104.87972601,0.43367902527117624
